step,total_loss,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7,loss_8,loss_9,loss_10,loss_11,loss_12
50000,0.0006597416941076517,1.210170375998132e-05,4.862839341512881e-05,1.3996671555105422e-07,1.4972806638979819e-06,1.2121864756409195e-06,8.058056118898094e-05,0.00042024426511488855,9.312590555055067e-05,2.1842051864950918e-06,3.4343586308160923e-10,2.6688031340427187e-08,2.387754993726787e-10
51000,0.0006084199994802475,3.16264558932744e-05,6.410769128706306e-05,9.336110196045411e-08,2.9243651624710765e-06,1.2475302355596796e-06,6.341550761135295e-05,0.0003531625843606889,8.976724348030984e-05,2.0504921849351376e-06,2.9125246658878723e-10,2.4246118002224648e-08,2.1536865346671874e-10
52000,0.0006539137684740126,7.247926259879023e-05,4.1379731555934995e-05,1.0811113781983295e-07,2.8100273539166665e-06,1.2660320862778462e-06,7.399448804790154e-05,0.00037250795867294073,8.743138459976763e-05,1.9135432012262754e-06,2.476042704202541e-10,2.280387434439035e-08,1.851731268320833e-10
53000,0.0006315757636912167,1.3440698239719495e-05,4.371345858089626e-05,2.0175963300061994e-07,4.1468365452601574e-06,1.25925225802348e-06,7.92467690189369e-05,0.000404027639888227,8.368932321900502e-05,1.8297665747013525e-06,1.878181499215259e-10,1.9958646291229343e-08,1.696988938260091e-10
54000,0.0005858800141140819,4.407055166666396e-05,4.785627970704809e-05,2.5907542067216127e-07,2.8445838324842043e-06,1.0584303709038068e-06,5.905674333916977e-05,0.0003481625462882221,8.081409032456577e-05,1.7390434550179634e-06,1.5076669079849836e-10,1.8355793329760672e-08,1.563594670406232e-10
55000,0.0006687816348858178,5.6818236771505326e-05,7.812597323209047e-05,1.9120358274449245e-07,2.0659099391195923e-06,1.0139197001990397e-06,6.961986946407706e-05,0.0003800619742833078,7.918727351352572e-05,1.6800881894596387e-06,1.249602643582648e-10,1.692588824653285e-08,1.3664396003587598e-10
56000,0.0006059666047804058,1.2954444173374213e-05,3.528805245878175e-05,2.678955866031174e-07,2.75836077889835e-06,1.151090373241459e-06,7.594141061417758e-05,0.00039962539449334145,7.63332427595742e-05,1.6319927453878336e-06,1.2331850818281254e-10,1.4536918335750215e-08,1.221774348358906e-10
57000,0.0005674977437593043,3.286688661319204e-05,5.715533552574925e-05,1.9651520233310293e-07,1.8724045958151692e-06,1.1717271490852e-06,5.824553227284923e-05,0.0003402127476874739,7.418395398417488e-05,1.57919782850513e-06,1.2277778793645666e-10,1.3189672465330204e-08,1.0690828083914639e-10
58000,0.0005287183448672295,2.852508805517573e-05,3.0103075914666988e-05,2.3643340796297707e-07,3.127309355477337e-06,1.362651573799667e-06,5.632907777908258e-05,0.000335162621922791,7.231854397105053e-05,1.5414344716191408e-06,1.2394671400350887e-10,1.1862723248157181e-08,9.661929589732665e-11
59000,0.0006043819594196975,5.300877455738373e-05,4.1044004319701344e-05,2.42735978872588e-07,4.0241416172648314e-06,1.4038154176887474e-06,6.319162639556453e-05,0.00036869815085083246,7.125351839931682e-05,1.5041423466755077e-06,1.2453106601473252e-10,1.0904371627873388e-08,8.594858852406517e-11
60000,0.0006004365277476609,1.457054077036446e-05,5.511399285751395e-05,2.3643443114451657e-07,3.759272885872633e-06,1.4163244941300945e-06,7.208295573946089e-05,0.0003827199980150908,6.906792987138033e-05,1.4591548733733362e-06,1.285806322526284e-10,9.716844218132792e-09,7.763768100632618e-11
61000,0.0005378224886953831,2.3293458070838824e-05,4.4757165596820414e-05,2.628621302847023e-07,4.529731995717157e-06,1.4563563581759809e-06,5.4694733989890665e-05,0.0003399078850634396,6.746622239006683e-05,1.4447310832110816e-06,1.2815949690381245e-10,9.178454440927908e-09,7.27243126830146e-11
62000,0.0006103113410063088,5.718461761716753e-05,6.937918806215748e-05,1.97358275499937e-07,2.174165501855896e-06,1.480725245528447e-06,6.452768138842657e-05,0.00034756073728203773,6.640381616307423e-05,1.3940698408987373e-06,1.2029932605628346e-10,8.770263626445285e-09,6.779964090153356e-11
63000,0.0005643119802698493,1.2983291526325047e-05,5.34224345756229e-05,3.1264343647308124e-07,3.9178603401524015e-06,1.4963790135880117e-06,6.623624358326197e-05,0.00036026592715643346,6.430099165299907e-05,1.3675585250894073e-06,1.19661308639607e-10,8.516673588587764e-09,6.593353640838018e-11
64000,0.0005158306448720396,2.0557170500978827e-05,3.604446101235226e-05,3.1353349072560377e-07,3.535379846653086e-06,1.5482382877962664e-06,5.3689134801970795e-05,0.00033599865855649114,6.277485226746649e-05,1.3608402014142484e-06,1.0897401730991518e-10,8.191497258280833e-09,6.29722524125853e-11
65000,0.0005988244665786624,6.530396058224142e-05,5.874495764146559e-05,2.605748932182905e-07,2.3690881789661944e-06,1.5701662050560117e-06,6.20516439084895e-05,0.00034565074020065367,6.152955029392615e-05,1.335851493422524e-06,9.692384395076914e-11,7.739111573812352e-09,5.854159518259294e-11
66000,0.0005315218004398048,9.052226232597604e-06,7.972458843141794e-05,5.018065394324367e-07,4.534485015028622e-06,1.8880441530200187e-06,4.9216363549930975e-05,0.000326165376463905,5.910650725127198e-05,1.324039885730599e-06,8.96576285436268e-11,8.215575775238904e-09,5.7140903120256326e-11
67000,0.0005971250939182937,1.2152281669841614e-05,5.775156751042232e-05,7.039947718112671e-07,5.593315108853858e-06,2.1668433873855975e-06,6.656255573034286e-05,0.0003941850154660642,5.669310121447779e-05,1.3079609288979555e-06,7.245321703708285e-11,8.32609181600219e-09,5.002348535398937e-11
68000,0.0005140067078173161,1.2642448382393923e-05,4.809624806512147e-05,6.923032174199761e-07,3.94662811231683e-06,1.8260373053635703e-06,5.084268195787445e-05,0.0003401528229005635,5.4502572311321273e-05,1.2959909554410842e-06,7.109851596354133e-11,8.820893349081871e-09,4.696937977444193e-11
69000,0.0005027521401643753,7.640576768608298e-06,4.38393690274097e-05,1.1445929430919932e-06,5.957259872957366e-06,1.8826963241735939e-06,5.280288678477518e-05,0.00033509189961478114,5.313779547577724e-05,1.2461512142181164e-06,7.708774590886591e-11,8.76299122154478e-09,4.516495510920038e-11
70000,0.0005610262742266059,1.8234077288070694e-05,4.638629616238177e-05,1.2311936643527588e-06,5.581783625530079e-06,1.5423820514115505e-06,6.064662375138141e-05,0.00037450939998961985,5.166608389117755e-05,1.2191101177450037e-06,9.207130197141922e-11,9.139167644889312e-09,4.4808278615304786e-11
