0 [0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00]
1000 [5.85120e-02, 6.04462e-02, -1.91211e-01, -1.57210e-01, -2.25612e-01]
2000 [1.98763e-01, 2.16667e-01, -3.83389e-01, -2.05713e-01, -4.64191e-01]
3000 [3.92860e-01, 4.31563e-01, -5.62336e-01, -1.74027e-01, -6.54543e-01]
4000 [5.65408e-01, 6.19025e-01, -7.32464e-01, -1.75258e-01, -7.72307e-01]
5000 [6.88471e-01, 7.36683e-01, -9.07978e-01, -1.91625e-01, -8.69769e-01]
6000 [6.89892e-01, 7.23009e-01, -1.10310e+00, -2.62665e-01, -9.36928e-01]
7000 [5.48854e-01, 6.02681e-01, -1.29806e+00, -4.08291e-01, -9.57947e-01]
8000 [3.90018e-01, 4.69832e-01, -1.46354e+00, -5.40241e-01, -9.69216e-01]
9000 [2.82592e-01, 3.79482e-01, -1.61396e+00, -6.10483e-01, -1.00518e+00]
10000 [2.15612e-01, 3.30317e-01, -1.75797e+00, -6.31308e-01, -1.06435e+00]
11000 [1.63619e-01, 3.05229e-01, -1.89953e+00, -6.28809e-01, -1.13439e+00]
12000 [1.28367e-01, 3.00052e-01, -2.03760e+00, -6.11878e-01, -1.21134e+00]
13000 [1.13062e-01, 3.10877e-01, -2.16981e+00, -5.92976e-01, -1.29251e+00]
14000 [1.12939e-01, 3.34614e-01, -2.28969e+00, -5.65649e-01, -1.37651e+00]
15000 [1.17666e-01, 3.65922e-01, -2.40319e+00, -5.37868e-01, -1.46432e+00]
16000 [1.40290e-01, 4.17014e-01, -2.51746e+00, -5.15377e-01, -1.55874e+00]
17000 [1.82242e-01, 4.83630e-01, -2.62887e+00, -4.90999e-01, -1.66030e+00]
18000 [2.36958e-01, 5.56977e-01, -2.73486e+00, -4.75585e-01, -1.76149e+00]
19000 [2.86186e-01, 6.23629e-01, -2.82559e+00, -4.56938e-01, -1.86349e+00]
20000 [3.50540e-01, 7.02396e-01, -2.92906e+00, -4.51696e-01, -1.97407e+00]
21000 [4.42783e-01, 8.19990e-01, -3.05688e+00, -4.69930e-01, -2.07637e+00]
22000 [5.21913e-01, 9.35318e-01, -3.18818e+00, -4.43234e-01, -2.18952e+00]
23000 [5.83354e-01, 1.03033e+00, -3.29461e+00, -4.26429e-01, -2.28979e+00]
24000 [6.48297e-01, 1.12448e+00, -3.39669e+00, -4.15398e-01, -2.39871e+00]
25000 [7.22838e-01, 1.22349e+00, -3.49887e+00, -4.10523e-01, -2.48519e+00]
26000 [7.88926e-01, 1.31191e+00, -3.58581e+00, -4.07839e-01, -2.57595e+00]
27000 [8.64766e-01, 1.40633e+00, -3.67743e+00, -4.12611e-01, -2.65848e+00]
28000 [9.37971e-01, 1.49724e+00, -3.76008e+00, -4.20283e-01, -2.74013e+00]
29000 [1.00117e+00, 1.57825e+00, -3.83239e+00, -4.34838e-01, -2.80512e+00]
30000 [1.05557e+00, 1.65014e+00, -3.89344e+00, -4.50203e-01, -2.85980e+00]
31000 [1.10760e+00, 1.71871e+00, -3.95085e+00, -4.68419e-01, -2.92170e+00]
32000 [1.16208e+00, 1.78892e+00, -4.00896e+00, -4.91754e-01, -2.96866e+00]
33000 [1.21347e+00, 1.85598e+00, -4.05928e+00, -5.13089e-01, -3.00506e+00]
34000 [1.25201e+00, 1.91125e+00, -4.09981e+00, -5.41375e-01, -3.04187e+00]
35000 [1.28607e+00, 1.96139e+00, -4.13551e+00, -5.64405e-01, -3.05845e+00]
36000 [1.31986e+00, 2.00966e+00, -4.17090e+00, -5.87491e-01, -3.07822e+00]
37000 [1.35154e+00, 2.05467e+00, -4.20398e+00, -6.09692e-01, -3.10811e+00]
38000 [1.38613e+00, 2.10113e+00, -4.23971e+00, -6.33500e-01, -3.13656e+00]
39000 [1.41221e+00, 2.13784e+00, -4.26987e+00, -6.59382e-01, -3.15532e+00]
40000 [1.44145e+00, 2.17619e+00, -4.30275e+00, -6.80731e-01, -3.17371e+00]
41000 [1.46789e+00, 2.21066e+00, -4.33253e+00, -7.02387e-01, -3.18437e+00]
42000 [1.49395e+00, 2.24416e+00, -4.36055e+00, -7.20856e-01, -3.19892e+00]
43000 [1.51253e+00, 2.27039e+00, -4.37974e+00, -7.45940e-01, -3.21340e+00]
44000 [1.53427e+00, 2.29987e+00, -4.39895e+00, -7.71397e-01, -3.22469e+00]
45000 [1.54274e+00, 2.31644e+00, -4.40234e+00, -7.92235e-01, -3.23121e+00]
46000 [1.56551e+00, 2.34742e+00, -4.41785e+00, -8.12295e-01, -3.26126e+00]
47000 [1.57695e+00, 2.36726e+00, -4.42408e+00, -8.35830e-01, -3.27659e+00]
48000 [1.57457e+00, 2.37266e+00, -4.41967e+00, -8.52508e-01, -3.28772e+00]
49000 [1.58719e+00, 2.39254e+00, -4.42972e+00, -8.61567e-01, -3.30215e+00]
50000 [1.59005e+00, 2.40257e+00, -4.43282e+00, -8.76896e-01, -3.29700e+00]
51000 [1.59388e+00, 2.41265e+00, -4.44007e+00, -8.81978e-01, -3.31095e+00]
52000 [1.58338e+00, 2.40750e+00, -4.43675e+00, -8.81424e-01, -3.31427e+00]
53000 [1.58366e+00, 2.41260e+00, -4.44466e+00, -8.76445e-01, -3.31384e+00]
54000 [1.57374e+00, 2.40716e+00, -4.44218e+00, -8.67672e-01, -3.34360e+00]
55000 [1.56706e+00, 2.40445e+00, -4.44152e+00, -8.55268e-01, -3.36228e+00]
56000 [1.57195e+00, 2.41403e+00, -4.44898e+00, -8.57247e-01, -3.37256e+00]
57000 [1.57555e+00, 2.42287e+00, -4.45141e+00, -8.62240e-01, -3.39496e+00]
58000 [1.58245e+00, 2.43565e+00, -4.45560e+00, -8.70333e-01, -3.41361e+00]
59000 [1.58907e+00, 2.44865e+00, -4.46059e+00, -8.86554e-01, -3.42416e+00]
60000 [1.59998e+00, 2.46633e+00, -4.46854e+00, -9.01589e-01, -3.42817e+00]
61000 [1.60408e+00, 2.47751e+00, -4.47082e+00, -9.19248e-01, -3.44006e+00]
62000 [1.60850e+00, 2.48846e+00, -4.47285e+00, -9.22679e-01, -3.44492e+00]
63000 [1.60822e+00, 2.49453e+00, -4.47338e+00, -9.32208e-01, -3.47427e+00]
64000 [1.60996e+00, 2.50229e+00, -4.47541e+00, -9.33727e-01, -3.48111e+00]
65000 [1.60960e+00, 2.50780e+00, -4.47374e+00, -9.34645e-01, -3.48247e+00]
66000 [1.60373e+00, 2.50783e+00, -4.46568e+00, -9.31037e-01, -3.50279e+00]
67000 [1.60007e+00, 2.51112e+00, -4.45331e+00, -9.28177e-01, -3.51400e+00]
68000 [1.60435e+00, 2.52233e+00, -4.44582e+00, -9.36520e-01, -3.51377e+00]
69000 [1.60877e+00, 2.53324e+00, -4.43812e+00, -9.50067e-01, -3.50441e+00]
70000 [1.61815e+00, 2.54752e+00, -4.43431e+00, -9.63691e-01, -3.49929e+00]
